,State,County,Municipality/City,Data Year,ActivityProducedBy,Point of Measurement,Data Reliability,Location,Study ID,Residential Breakout (tons),Commercial Breakout (tons),Institutional Breakout (tons),Industrial Breakout (tons),C&D Breakout (tons),Other Generator Breakout (tons),Other Generator Notes,State-Level,County-Level,Municipality/City-Level,Recycling Includes Composting,Compost,Exports,Imports,Landfill,MRF,Other,Other- AD,Other- Incinerator,Total Disposal,Total Disposed,Total Recycling,WTE
28,Maryland,,,2016,Unspecified,Waste Facility,2.0,24000,140.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,62293.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
29,Maryland,,,2015,Unspecified,Waste Facility,2.0,24000,141.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2807591.0,0.0
30,Maryland,,,2015,Unspecified,Landfill,2.0,24000,141.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,1691223.0,0.0,0.0,,,0.0,,0.0,0.0
31,Maryland,,,2015,Unspecified,Waste Facility,2.0,24000,141.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1693654.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
32,Maryland,,,2015,Unspecified,Incinerator,2.0,24000,141.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1484477,0.0,,0.0,0.0
33,Maryland,,,2015,Unspecified,Waste Facility,2.0,24000,141.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,37769.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
34,Maryland,,,2014,Unspecified,Waste Facility,2.0,24000,143.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2741939.0,0.0
35,Maryland,,,2014,Unspecified,Landfill,2.0,24000,143.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,1653932.0,0.0,0.0,,,0.0,,0.0,0.0
36,Maryland,,,2014,Unspecified,Waste Facility,2.0,24000,143.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1680588.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
37,Maryland,,,2014,Unspecified,Incinerator,2.0,24000,143.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1469464,0.0,,0.0,0.0
38,Maryland,,,2014,Unspecified,Waste Facility,2.0,24000,143.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,37074.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
39,Maryland,,,2013,Unspecified,Waste Facility,2.0,24000,144.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2797906.0,0.0
40,Maryland,,,2013,Unspecified,Landfill,2.0,24000,144.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,1606325.0,0.0,0.0,,,0.0,,0.0,0.0
41,Maryland,,,2013,Unspecified,Waste Facility,2.0,24000,144.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1605804.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
42,Maryland,,,2013,Unspecified,Incinerator,2.0,24000,144.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1420859,0.0,,0.0,0.0
43,Maryland,,,2013,Unspecified,Waste Facility,2.0,24000,144.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,35188.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
44,Maryland,,,2012,Unspecified,Waste Facility,2.0,24000,145.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2979198.0,0.0
45,Maryland,,,2012,Unspecified,Landfill,2.0,24000,145.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,1510570.0,0.0,0.0,,,0.0,,0.0,0.0
