,Study ID,State,County,Municipality/City,State-Level,County-Level,Municipality/City-Level,Data Year,ActivityProducedBy,Point of Measurement,Data Reliability,Location,Waste Pathway Name,Waste Pathway Amount (original value),Waste Pathway Amount (original units),Waste Pathway Amount (tons),Residential Breakout (tons),Commercial Breakout (tons),Institutional Breakout (tons),Industrial Breakout (tons),C&D Breakout (tons),Other Generator Breakout (tons),Other Generator Notes,Aggregation,Recycling Includes Composting,Notes,Unnamed: 24
35,143.0,Maryland,,,Y,N,N,2014,Unspecified,Landfill,2.0,24000,Landfill,1653932,tons,1653932,NR,NR,NR,NR,NR,NR,,N,Y,,
36,143.0,Maryland,,,Y,N,N,2014,Unspecified,Waste Facility,2.0,24000,Exports,1680588,tons,1680588,NR,NR,NR,NR,NR,NR,,Y,Y,added MSW and Recycling tonnages,
37,143.0,Maryland,,,Y,N,N,2014,Unspecified,Incinerator,2.0,24000,Other- Incinerator,1469464,tons,1469464,NR,NR,NR,NR,NR,NR,,N,Y,,
38,143.0,Maryland,,,Y,N,N,2014,Unspecified,Waste Facility,2.0,24000,Imports,37074,tons,37074,NR,NR,NR,NR,NR,NR,,N,Y,,
39,144.0,Maryland,,,Y,N,N,2013,Unspecified,Waste Facility,2.0,24000,Total Recycling,2797906,tons,2797906,NR,NR,NR,NR,NR,NR,,N,Y,,
40,144.0,Maryland,,,Y,N,N,2013,Unspecified,Landfill,2.0,24000,Landfill,1606325,tons,1606325,NR,NR,NR,NR,NR,NR,,N,Y,,
41,144.0,Maryland,,,Y,N,N,2013,Unspecified,Waste Facility,2.0,24000,Exports,1605804,tons,1605804,NR,NR,NR,NR,NR,NR,,Y,Y,added MSW and Recycling tonnages,
42,144.0,Maryland,,,Y,N,N,2013,Unspecified,Incinerator,2.0,24000,Other- Incinerator,1420859,tons,1420859,NR,NR,NR,NR,NR,NR,,N,Y,,
43,144.0,Maryland,,,Y,N,N,2013,Unspecified,Waste Facility,2.0,24000,Imports,35188,tons,35188,NR,NR,NR,NR,NR,NR,,N,Y,,
44,145.0,Maryland,,,Y,N,N,2012,Unspecified,Waste Facility,2.0,24000,Total Recycling,2979198,tons,2979198,NR,NR,NR,NR,NR,NR,,N,Y,,
45,145.0,Maryland,,,Y,N,N,2012,Unspecified,Landfill,2.0,24000,Landfill,1510570,tons,1510570,NR,NR,NR,NR,NR,NR,,N,Y,,
46,145.0,Maryland,,,Y,N,N,2012,Unspecified,Waste Facility,2.0,24000,Exports,1912757,tons,1912757,NR,NR,NR,NR,NR,NR,,Y,Y,added MSW and Recycling tonnages,
47,145.0,Maryland,,,Y,N,N,2012,Unspecified,Incinerator,2.0,24000,Other- Incinerator,1397642,tons,1397642,NR,NR,NR,NR,NR,NR,,N,Y,,
48,145.0,Maryland,,,Y,N,N,2012,Unspecified,Waste Facility,2.0,24000,Imports,37660,tons,37660,NR,NR,NR,NR,NR,NR,,N,Y,,
49,146.0,Maryland,,,Y,N,N,2011,Unspecified,Waste Facility,2.0,24000,Total Recycling,3089820,tons,3089820,NR,NR,NR,NR,NR,NR,,N,Y,,
50,146.0,Maryland,,,Y,N,N,2011,Unspecified,Landfill,2.0,24000,Landfill,1512614,tons,1512614,NR,NR,NR,NR,NR,NR,,N,Y,,
51,146.0,Maryland,,,Y,N,N,2011,Unspecified,Waste Facility,2.0,24000,Exports,1866475,tons,1866475,NR,NR,NR,NR,NR,NR,,Y,Y,added MSW and Recycling tonnages,
52,146.0,Maryland,,,Y,N,N,2011,Unspecified,Incinerator,2.0,24000,Other- Incinerator,1405523,tons,1405523,NR,NR,NR,NR,NR,NR,,N,Y,,
53,146.0,Maryland,,,Y,N,N,2011,Unspecified,Waste Facility,2.0,24000,Imports,53599,tons,53599,NR,NR,NR,NR,NR,NR,,N,Y,,
54,147.0,Maryland,,,Y,N,N,2010,Unspecified,Waste Facility,2.0,24000,Total Recycling,2731201,tons,2731201,NR,NR,NR,NR,NR,NR,,N,Y,,
55,147.0,Maryland,,,Y,N,N,2010,Unspecified,Landfill,2.0,24000,Landfill,1573846,tons,1573846,NR,NR,NR,NR,NR,NR,,N,Y,,
56,147.0,Maryland,,,Y,N,N,2010,Unspecified,Waste Facility,2.0,24000,Exports,1902685,tons,1902685,NR,NR,NR,NR,NR,NR,,Y,Y,added MSW and Recycling tonnages,
57,147.0,Maryland,,,Y,N,N,2010,Unspecified,Incinerator,2.0,24000,Other- Incinerator,1374883,tons,1374883,NR,NR,NR,NR,NR,NR,,N,Y,,
58,147.0,Maryland,,,Y,N,N,2010,Unspecified,Waste Facility,2.0,24000,Imports,15622,tons,15622,NR,NR,NR,NR,NR,NR,,N,Y,,
59,148.0,Maryland,,,Y,N,N,2009,Unspecified,Waste Facility,2.0,24000,Total Recycling,2568310,tons,2568310,NR,NR,NR,NR,NR,NR,,N,Y,,
60,148.0,Maryland,,,Y,N,N,2009,Unspecified,Landfill,2.0,24000,Landfill,1769936,tons,1769936,NR,NR,NR,NR,NR,NR,,N,Y,,
61,148.0,Maryland,,,Y,N,N,2009,Unspecified,Waste Facility,2.0,24000,Exports,2040065,tons,2040065,NR,NR,NR,NR,NR,NR,,Y,Y,added MSW and Recycling tonnages,
62,148.0,Maryland,,,Y,N,N,2009,Unspecified,Incinerator,2.0,24000,Other- Incinerator,1301501,tons,1301501,NR,NR,NR,NR,NR,NR,,N,Y,,
63,148.0,Maryland,,,Y,N,N,2009,Unspecified,Waste Facility,2.0,24000,Imports,15452,tons,15452,NR,NR,NR,NR,NR,NR,,N,Y,,
64,149.0,Maryland,,,Y,N,N,2008,Unspecified,Waste Facility,2.0,24000,Total Recycling,3369057,tons,3369057,NR,NR,NR,NR,NR,NR,,N,Y,,
65,149.0,Maryland,,,Y,N,N,2008,Unspecified,Waste Facility,2.0,24000,Landfill,2013567,tons,2013567,NR,NR,NR,NR,NR,NR,,N,Y,,
66,149.0,Maryland,,,Y,N,N,2008,Unspecified,Waste Facility,2.0,24000,Exports,1774558,tons,1774558,NR,NR,NR,NR,NR,NR,,Y,Y,added MSW and Recycling tonnages,
67,149.0,Maryland,,,Y,N,N,2008,Unspecified,Waste Facility,2.0,24000,Other- Incinerator,1406867,tons,1406867,NR,NR,NR,NR,NR,NR,,N,Y,,
68,149.0,Maryland,,,Y,N,N,2008,Unspecified,Waste Facility,2.0,24000,Imports,29542,tons,29542,NR,NR,NR,NR,NR,NR,,N,Y,,
69,161.0,Mississippi,,,Y,N,N,2019,Unspecified,Landfill,2.0,28000,Landfill,3579091,tons,3579091,NR,NR,NR,NR,NR,NR,,N,U,,
70,161.0,Mississippi,,,Y,N,N,2019,Unspecified,Landfill,2.0,28000,Imports,782354,tons,782354,NR,NR,NR,NR,NR,NR,,N,U,,
71,161.0,Mississippi,,,Y,N,N,2019,Unspecified,Landfill,2.0,28000,Other,1382832,tons,1382832,NR,NR,NR,NR,NR,NR,,N,U,,
72,161.0,Mississippi,,,Y,N,N,2019,Unspecified,Landfill,2.0,28000,Other,128784,tons,128784,NR,NR,NR,NR,NR,NR,,N,U,,
73,161.0,Mississippi,,,Y,N,N,2019,Unspecified,Compost Facility,2.0,28000,Compost,30211,tons,30211,NR,NR,NR,NR,NR,NR,,N,U,,
74,162.0,Mississippi,,,Y,N,N,2018,Unspecified,Landfill,2.0,28000,Landfill,3646933,tons,3646933,NR,NR,NR,NR,NR,NR,,N,U,,
75,162.0,Mississippi,,,Y,N,N,2018,Unspecified,Landfill,2.0,28000,Imports,795212,tons,795212,NR,NR,NR,NR,NR,NR,,N,U,,
76,162.0,Mississippi,,,Y,N,N,2018,Unspecified,Landfill,2.0,28000,Other,1326278,tons,1326278,NR,NR,NR,NR,NR,NR,,N,U,,
77,162.0,Mississippi,,,Y,N,N,2018,Unspecified,Landfill,2.0,28000,Other,77285,tons,77285,NR,NR,NR,NR,NR,NR,,N,U,,
78,162.0,Mississippi,,,Y,N,N,2018,Unspecified,Compost Facility,2.0,28000,Compost,23405,tons,23405,NR,NR,NR,NR,NR,NR,,N,U,,
79,163.0,Mississippi,,,Y,N,N,2017,Unspecified,Landfill,2.0,28000,Landfill,3425569,tons,3425569,NR,NR,NR,NR,NR,NR,,N,U,,
80,163.0,Mississippi,,,Y,N,N,2017,Unspecified,Landfill,2.0,28000,Imports,669668,tons,669668,NR,NR,NR,NR,NR,NR,,N,U,,
81,163.0,Mississippi,,,Y,N,N,2017,Unspecified,Landfill,2.0,28000,Other,1414188,tons,1414188,NR,NR,NR,NR,NR,NR,,N,U,,
82,163.0,Mississippi,,,Y,N,N,2017,Unspecified,Landfill,2.0,28000,Other,97171,tons,97171,NR,NR,NR,NR,NR,NR,,N,U,,
83,163.0,Mississippi,,,Y,N,N,2017,Unspecified,Compost Facility,2.0,28000,Compost,27141,tons,27141,NR,NR,NR,NR,NR,NR,,N,U,,
84,164.0,Mississippi,,,Y,N,N,2007,Unspecified,Landfill,2.0,28000,Landfill,3073408,tons,3073408,NR,NR,NR,NR,NR,NR,,N,U,,
85,164.0,Mississippi,,,Y,N,N,2007,Unspecified,Landfill,2.0,28000,Imports,552251,tons,552251,NR,NR,NR,NR,NR,NR,,N,U,,
86,164.0,Mississippi,,,Y,N,N,2007,Unspecified,Landfill,2.0,28000,Other,1407700,tons,1407700,NR,NR,NR,NR,NR,NR,,N,U,,
87,164.0,Mississippi,,,Y,N,N,2007,Unspecified,Landfill,2.0,28000,Other,216084,tons,216084,NR,NR,NR,NR,NR,NR,,N,U,,
